"OTU","Z.AQ.1","Z.AQ.2","Z.BALL.1","Z.BALL.2","Z.Control.1","Z.Control.2","Z.Control.3","Z.Control.4","Z.Control.5","Z.Control.6","Z.EMPTY.1","Z.EMPTY.2","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PCR1.C","Z.PCR2.NTC","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.S.10","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"25","OTU_25",0,0,0,0,0,0,0,0,0,0,0,0,548,154,197,221,10250,33363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","OTU_26",0,0,2039,39181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","OTU_27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39167,895,0,15,5,37,1,0,0,0,46,29,67,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","OTU_28",0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,5920,5950,5316,11158,5465,8996,16,1,1,0,2,0,2,3,2,0,0,0,0,3,0,0,0,24,3,15,13,19
"29","OTU_29",0,2,0,0,0,0,0,11079,0,0,0,0,621,281,38,434,364,182,0,0,5836,10251,11434,11187,3270,9824,278,81,164,0,0,0,9,1,34,0,0,0,0,0,1,0,54,244,71,254,269,279
"30","OTU_30",0,0,0,0,0,0,0,105,0,0,0,0,105,15,46,75,89,182,0,0,712,823,952,1714,549,812,17,8,5,1,0,0,0,0,0,0,4630,6650,3016,10462,3061,4140,65,185,137,254,248,463
"31","OTU_31",0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,43,803,1466,193,10201,7636,21308,0,0,1318,0,1,0,0,2,0,0,801,2,5
"32","OTU_32",0,33203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","OTU_33",0,0,0,29,0,0,0,282,0,0,0,0,96,38,33,93,64,204,0,0,2773,3759,3306,6677,4205,7607,322,50,89,29,34,3,60,75,81,0,561,715,306,827,501,562,63,179,103,153,124,261
"34","OTU_34",50,9,0,4,0,0,0,8,0,0,0,0,39,3,20,41,20,47,0,0,2,1,1,12,0,2,5,1,3,14,9,1,22,21,11,0,1897,2667,2003,9056,10528,10696,2,10,2,6,6,10
