"OTU","L.AQ.1","L.AQ.2","L.BALL.1","L.BALL.2","L.Control.1","L.Control.2","L.Control.3","L.Control.4","L.Control.5","L.Control.6","L.EMPTY.1","L.EMPTY.2","L.HH1.L","L.HH1.N","L.HH2.L","L.HH2.N","L.HH3.L","L.HH3.N","L.PCR1.NTC","L.PCR2.NTC","L.PQ1.L","L.PQ1.N","L.PQ2.L","L.PQ2.N","L.PQ3.L","L.PQ3.N","L.S.01","L.S.02","L.S.03","L.S.04","L.S.05","L.S.06","L.S.07","L.S.08","L.S.09","L.S.10","L.TB1.L","L.TB1.N","L.TB2.L","L.TB2.N","L.TB3.L","L.TB3.N","L.TQ1.L","L.TQ1.N","L.TQ2.L","L.TQ2.N","L.TQ3.L","L.TQ3.N"
"25","Zotu25",0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,7039,9452,7686,6758,6386,8751,86,143,32,124,109,113
"26","Zotu26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,2223,0,495,6400,799,939,24343,5464,0,0,0,0,0,1,0,0,0,0,0,0,0
"27","Zotu27",0,0,0,0,0,0,0,2609,0,0,0,0,3551,3053,1863,2731,2199,3229,0,0,402,292,129,241,173,202,0,1,0,2,0,0,1,5,5,0,917,1183,1029,839,882,1224,5460,6089,1512,5255,5031,4583
"28","Zotu28",0,0,0,0,0,0,0,51,0,0,0,0,54,35,21,29,21,43,0,0,6,11,7,10,3,6,0,0,0,0,0,0,0,0,0,0,24,40,34,20,25,32,68,84,11,76,53,68
"29","Zotu29",0,0,0,0,0,0,0,1836,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,287,53,10,0,1870,149,983,0,0,0,11118,18875,6209,3,0,0
"30","Zotu30",0,0,0,0,0,0,0,188,0,0,0,0,16,2,12,10,8,18,0,0,0,0,0,0,0,0,202,5,2,1279,298,173,16,41,25,0,6949,3564,4249,3667,6484,2905,0,0,0,0,0,0
"31","Zotu31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,370,5,20,132,1240,870,16978,0,15097,7330,3687,1887,2774,7800,0,30,0,0,0,0
"32","Zotu32",0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,2,0,0,32033,60,88,46,16,36,0,3,1,9,10,0,1,9,4,0,7,6,15,39,5,7,61,86,36,202,44,172
"33","Zotu33",0,0,0,9,0,0,0,8987,0,0,0,0,3777,3082,2142,3160,2256,3521,0,0,1281,1320,967,1479,794,946,3,1,3,12,5,4,2,3,6,0,8047,10507,9627,7880,7975,10529,8724,11530,2739,9409,8042,9126
"34","Zotu34",0,0,0,0,0,0,0,0,0,0,0,0,8473,6265,8990,20,235,28111,0,0,32,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,4,2,0,6,29,7,4,17,26,3
"35","Zotu35",0,0,0,0,0,0,0,229,0,0,0,0,24,15,7,16,15,19,0,0,8,21,36,0,8,7,6436,2606,2692,3998,3276,1909,1299,2196,1320,0,269,28,104,40,103,46,272,132,48,103,96,57
"36","Zotu36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9814,8813,11918,177,0,3,0,0,0,2,0,2,1,0,0,0,0,0,0
"37","Zotu37",0,0,0,0,0,0,0,0,0,0,0,0,19,38235,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,222,0,0,0,0,1,0,0,0,0,0,0,0,0
"38","Zotu38",0,0,0,0,0,0,0,1784,0,0,0,0,4,15,9,21,18,36,0,0,66,30,5,8,75,37,0,0,0,0,0,0,0,0,0,0,2639,2459,2306,3029,2484,2815,1528,2359,336,1403,1442,2019
"39","Zotu39",0,0,0,0,0,0,0,0,0,0,0,0,6097,3377,4268,4274,4531,6789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0
"40","Zotu40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1196,1,672,532,2400,602,3719,3672,0,24903,7584,10698,1839,4833,12162,0,3154,0,2,0,0
"41","Zotu41",0,0,0,0,0,0,0,32,0,0,0,0,21,29,12,27,28,20,0,0,9,15,9,6,1,7,0,0,0,0,0,0,0,0,0,0,34,46,40,25,43,56,45,41,14,46,41,53
"42","Zotu42",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,423,539,7059,1281,14487,4,24,7,0,24,0,10,5,37,27,0,0,0,0,0,0
"43","Zotu43",0,0,0,0,0,0,0,7485,0,0,0,0,2,6,2,1,0,5,0,0,44,58,0,25,2,38,357,57,60,6614,2307,1180,216,474,137,0,1140,828,631,706,622,493,255,151,61,157,117,148
"44","Zotu44",0,0,4322,19102,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","Zotu45",0,0,0,0,0,0,0,3,0,0,0,0,3,1,5,50,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1863,22204,861,0,0,0,0,0,0,0,16,6,2,6,12,8
"46","Zotu46",0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758,643,24514,0,0,0,0,0,0,0,2555,61,10,2394,3938,28
"47","Zotu47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,172,207,174,68,45,14444,3875,3343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
