"Z.AQ.1","Z.AQ.2","Z.BALL.1","Z.BALL.2","Z.Control.1","Z.Control.2","Z.Control.3","Z.Control.4","Z.Control.5","Z.Control.6","Z.EMPTY.1","Z.EMPTY.2","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PCR1.C","Z.PCR2.NTC","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.S.10","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"Zotu1726",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,1,71,0
"Zotu1728",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,8,0,0,0,15,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1729",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1730",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,23,29,5,18,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Zotu1731",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1733",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,6,10,3,17,1,0,0,0,0,2,0,0,2,6,0,0,0,0,0,0
"Zotu1735",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,4,16,13,11,7,8,0,0,0,0,2,0
"Zotu1741",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,4,32,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1744",0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,21,4,6,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,2,122,28,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1746",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,52,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1747",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu175",0,0,0,4,0,0,0,46,0,0,0,0,240,76,92,206,139,495,0,0,0,3,1,1,0,5,13,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,170,1066,145,520,413,917
"Zotu1752",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,6,2,2,11,1,2,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,2,9,30,4,14,5,13
"Zotu1753",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,118,0,0,0,0,0,0,0,3,0,0,0,0,0
"Zotu1757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,51,1,3,4,0,0,0,2,0,0,3,1,0,0,0,0,0,2,0,1,0,0
"Zotu1758",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,0,0,37,26,46,8,10,4,2,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0
"Zotu176",0,0,0,0,0,0,0,1,0,0,0,0,45,4111,19,20,27,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027,14,467,0,3,3,0,1,1,2,5,9,5,5,1,14
"Zotu1760",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,52,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,4,4,14,0,6,7,0,0,1,1,0,0,0,0,0,0,13,1,0,0
"Zotu1762",0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,3,1,0,0,2,0,0
"Zotu1763",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,11,6,5,25,8,0,12,9,5,0,1,0,0,3,0,2,0,2,0,0,0,1
"Zotu1766",0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1768",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,7,11,7,7,0,5,0,0,0,0,0,0,0,0,0,0,0
"Zotu1769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,3,2,0,1,7,4,7,6,15
"Zotu177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,91,329,12,3567,2937,3192,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1770",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,6,13,6,9,7,14
"Zotu1771",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,14,3,13,18,16,19,15,10,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Zotu1773",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,60,1,0,0,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1774",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,11,14,6,13,4,2,0,0,0,0,6,1,5,0,13,16,2,7,5,7,4,17,8,14,6,10
"Zotu1777",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,89,20,49,1,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,1,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2598,2245,55,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Zotu1780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,19,49,3,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Zotu1781",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,9,2,1,5,1,3,0,12,3,3,5,3
"Zotu1782",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,2,0,20,11,34,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1783",0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,1,1,0,5,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Zotu179",0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876,51,3073,0,0,0,0,0,0,0,157,12,8,102,154,8
"Zotu1792",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,24,3,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Zotu1795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,55,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1798",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,4,0,20,7,11,8,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu18",0,0,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,8022,9361,8031,12799,13287,18450,239,51,171,3,0,0,0,0,2,0,1,0,0,4,0,0,12,28,17,34,18,71
"Zotu180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,784,1066,2662,1077,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0
"Zotu1800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,5,0,9,0,1,0,0,0,51,0,6,0,0,0,0,0
"Zotu1801",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,4,3,1,17,33,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,7,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1805",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,44,3,40,0,5,0,0,1,0,1,2,0,5,0,0,0,1,0,4
"Zotu1808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,165,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu181",0,0,12,151,0,0,0,223,0,0,0,0,43,26,10,33,24,43,0,0,0,0,0,0,0,0,50,4,12,24,16,2,774,849,1024,0,4,0,0,0,0,1,113,216,103,163,174,234
"Zotu1810",0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,9,30,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Zotu1811",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,4,2,0,0,0,0,0,0
"Zotu1816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1823",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1826",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,5,2,12,0,3,0,8,0,4,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0
"Zotu1829",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,61,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1830",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,15,27,9,14,5,7
"Zotu1831",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,20,2,13,0,0,0,0,1,0,0,0,0,0,3,2,1,8,0,1,0,0,0,1,0,0
"Zotu1832",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Zotu1836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,38,4,4,4,5,0,3,8,9,0,2,0,0,0,0,0,0,0,0,0,0,0
"Zotu1838",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1839",0,0,38,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1840",0,33,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Zotu1842",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,64,77,65,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1845",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8,2,2,2,59,19,78,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1848",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,1,23,11,34,0,9,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"Zotu185",0,0,0,0,0,0,0,190,0,0,0,0,12,3,4,7,7,36,0,0,256,102,301,280,90,54,85,8,18,0,0,0,4,3,5,0,844,991,318,1746,280,544,108,303,92,231,122,384
"Zotu1853",0,0,0,0,0,0,0,0,0,0,0,0,78,25,439,167,282,71,0,0,0,0,0,0,3,0,0,0,0,1,0,0,8,10,15,0,0,0,56,0,0,0,9,84,51,48,30,20
"Zotu1854",0,0,10,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Zotu1855",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,34,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1857",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,11,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,474,661,424,990,1009,904
"Zotu1860",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,16,3,8,12,19
"Zotu1861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,47,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Zotu1863",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,53,46,1,10,4,4,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1864",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,4,0,0,6,1,10,7,1,0,1,0,0,0,0,0,1,0,0,1,3,6,0,1,0,0
"Zotu1867",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,2,1,14,15,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
"Zotu1868",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,10,48,0,0,0,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1869",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,32,2,12,1,7
"Zotu187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,966,1691,69,814,2,0,0,0,0,0,1,0,0,0,0,0,0,0
"Zotu1870",0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,2,1,8,19,23,18,10,10,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Zotu1871",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,33,31,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Zotu1873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,30,2,2,1,3,0,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,1
"Zotu1874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,6,6,11,35
"Zotu1875",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,3,1,0,0,5,0,0,0,0,0,2,12,9,4,2,0,0,0,3,0,1,0,0,2,1,2,3,5,4,16,2,0
"Zotu1876",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,13,16,20,10,2,12,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0
"Zotu1878",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1885",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1886",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1889",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,8,4,3,15,9,22,0,7,4,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Zotu189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,359,0,0,0,0,0,0,0,0,0,36,339,19,563,64,78,69,259,0,208,687,2993,2528,409,1005,40,1,7,0,0,1
"Zotu1890",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,0,4,9,17,4,2,5,8,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"Zotu1894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1895",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,23,5,0
"Zotu1896",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,4,0,6,0,0,0,0,0,0,0,31,2,0,0,1,3,0,0,0,0,3,1
"Zotu1898",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu19",300,0,158,185,0,0,0,10551,0,66,0,0,1321,193,483,723,987,2280,0,0,1733,1003,2850,2403,980,815,136,12,27,72,102,21,58,21,33,0,734,945,527,1954,1171,1399,3043,10433,2877,7280,5126,13208
"Zotu190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2095,3543,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,10,0,0,0,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0
"Zotu1905",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,1,17,4,13,2,13,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0
"Zotu1907",3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,10,9,4,4,6,1,2,2,0,0,0,0,2,2,0,0,0,0,0,2,0,0,1,1
"Zotu1909",0,0,10,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1910",0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,7,0,2,0,11,5,6,0,0,0,0,0,1,0,5,2,0,1,2,0
"Zotu1915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0
"Zotu192",0,0,0,0,0,0,0,38,0,0,0,0,50,3,10,24,23,68,0,0,0,0,1,0,0,0,0,0,0,3,1,1,14,25,32,0,3,1,0,8,2,8,240,861,236,679,400,1204
"Zotu1922",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,8,11,32,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
"Zotu1927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,6,36,4,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1929",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12,0,36,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1933",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,2,1,14,0,0,0,1,1,0,0,0,0,0,1,0,0,1,11,3,6,0,3
"Zotu1937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,2,3,2,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
"Zotu1938",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,22,1,0,0,3,4,5,0,0,0,0,3,0,0,0,1,0,0,0,0
"Zotu1942",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,43,2,8,1,3,1,1,1,0,0,0,0,0,0,0,0,2,2,0,3,4,2
"Zotu1945",0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,1,0,0,0,3,0,0,4,3,19,1,8,0,1,0,1,2,2,0,4,1,0,3,4,1,3,4,3,4,4,12
"Zotu1946",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,9,9,1,0,0,2,0,1,4,3,4,0,1,0,3,0,6,0,4
"Zotu1948",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,35,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0
"Zotu1949",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,40,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu195",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,977,3339,155,3602,85,16,26,7,0,1,0,0,1,0,0,0,1,0,0,0,2
"Zotu1951",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,21,0,0,0,0
"Zotu1952",123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1953",0,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1954",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Zotu1956",0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1958",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,67,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1959",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,2,57,3,11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Zotu196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3694,175,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1961",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0,6,0,0,0,2,0,0,0,0,20,0,0,0,0,0,0
"Zotu1965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,27,4,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1966",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,37,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
