"","L.HH1.L","L.HH1.N","L.HH2.L","L.HH2.N","L.HH3.L","L.HH3.N","L.PQ1.L","L.PQ1.N","L.PQ2.L","L.PQ2.N","L.PQ3.L","L.PQ3.N","L.S.01","L.S.02","L.S.03","L.S.04","L.S.05","L.S.06","L.S.07","L.S.08","L.S.09","L.TB1.L","L.TB1.N","L.TB2.L","L.TB2.N","L.TB3.L","L.TB3.N","L.TQ1.L","L.TQ1.N","L.TQ2.L","L.TQ2.N","L.TQ3.L","L.TQ3.N"
"OTU_1011",0,0,0,0,0,0,6,3,0,4,10,3,44,169,67,7,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,3,0
"OTU_10110",0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10117",0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10119",0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1012",0,0,0,0,0,0,0,0,0,0,3,5,163,77,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10122",0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10124",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1013",0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,120,84,95,0,0,0,15,0,0,4,0,6,0,0,0,0,0,0
"OTU_10130",0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"OTU_1014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,428,246,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"OTU_10143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0
"OTU_10147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0
"OTU_1015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,560,33,0,0,0,0,0,0,0,0,9,4,0,0
"OTU_10157",5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10159",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,175,126,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1017",74,52,46,52,38,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,0,7,0,0,0,0,0,0
"OTU_1018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,71,38,111,113,67
"OTU_10182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"OTU_10188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10189",0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_102",448,285,243,305,272,318,0,0,0,0,0,0,43,24,24,193,120,79,887,2376,850,64,25,27,28,36,20,127,113,58,111,204,91
"OTU_1020",0,0,0,0,0,0,16,0,0,0,17,9,67,111,120,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10213",0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"OTU_10217",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"OTU_1022",0,0,0,0,0,0,0,0,0,0,0,4,117,39,50,154,43,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10228",0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10229",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"OTU_1023",4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,52,0,18,10,58
"OTU_10230",0,0,0,0,0,0,33,5,20,10,25,24,193,50,100,21,6,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0
"OTU_1024",61,43,31,32,31,52,29,4,12,14,3,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"OTU_1025",0,0,0,0,0,0,6,0,0,0,0,0,8,5,10,125,89,48,5,16,3,4,0,0,0,0,0,0,0,0,0,0,0
"OTU_10255",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"OTU_10257",0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1026",0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,150,91,0,79,310,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1027",0,0,0,0,0,0,0,0,0,0,8,0,94,91,53,222,150,34,59,124,39,0,0,0,0,0,0,0,3,0,0,0,0
"OTU_10275",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
"OTU_1028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,251,56,12,29,3,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10284",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3
"OTU_10286",0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10295",0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_103",0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,863,7533,11,0,0,0,5,0,6,0,0,4,0,0,0,0,0,0
"OTU_1030",65,80,58,61,63,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1031",0,0,0,0,0,0,0,0,0,0,7,0,106,69,73,15,7,3,6,4,3,0,0,0,0,0,0,0,4,0,0,0,0
"OTU_10310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1033",0,0,0,0,0,0,0,0,0,0,3,0,220,146,122,9,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1034",0,0,0,0,0,0,0,0,0,3,0,0,14,134,46,0,0,0,10,93,30,0,0,0,0,0,0,5,14,4,20,16,4
"OTU_10343",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1035",0,0,0,0,0,0,105,44,57,60,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,0,27,292,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10363",0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10364",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"OTU_10365",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"OTU_1037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,61,183,67,0,0,0,0,0,0,7,0,0,0,0,0
"OTU_1038",0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,11,11,10,93,114,106,0,0,0,0,0,0,29,7,0,0,9,7
"OTU_10385",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1039",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,44,10,7,0,0,0,51,20,49,29,56,23,5,6,5,15,0,23
"OTU_104",0,0,0,0,5053,3073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1040",16,4,0,13,0,9,0,0,0,0,0,0,0,0,0,215,52,52,3,11,4,3,0,3,0,7,0,0,20,0,12,0,3
"OTU_10409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,38,11,64,191,72,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10412",0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
