"","L.HH1.L","L.HH1.N","L.HH2.L","L.HH2.N","L.HH3.L","L.HH3.N","L.PQ1.L","L.PQ1.N","L.PQ2.L","L.PQ2.N","L.PQ3.L","L.PQ3.N","L.S.01","L.S.02","L.S.03","L.S.04","L.S.05","L.S.06","L.S.07","L.S.08","L.S.09","L.TB1.L","L.TB1.N","L.TB2.L","L.TB2.N","L.TB3.L","L.TB3.N","L.TQ1.L","L.TQ1.N","L.TQ2.L","L.TQ2.N","L.TQ3.L","L.TQ3.N"
"42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758,643,24700,0,0,0,0,0,0,2555,61,10,2394,3940,28
"43",0,0,0,0,0,0,146,172,207,174,68,45,14444,3875,3343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",5,3,0,35562,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,4830,2079,2544,1508,7651,3232,54,107,161,12,144,8,629,6,3,6,14,23,0,22,26,11,11,8,12,19,13
"46",2671,4232,1120,2423,4725,5664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",202,311,145,239,189,428,154,140,132,363,118,238,0,0,0,0,0,0,0,0,0,786,917,516,614,566,737,1334,2458,403,2150,1446,2459
"49",0,0,0,0,3,0,8,7,12,16,22,5,0,3,3,6,0,0,0,0,0,7,8,10,4,0,0,0,0,0,7,0,3
"50",0,0,0,0,0,4,0,0,8,0,0,0,1512,1589,1256,2919,3029,1151,2435,6724,3417,14,4,5,10,12,24,90,62,0,36,22,18
"51",0,0,0,0,0,0,11369,490,1653,860,4128,528,1521,14385,3521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",1584,686,1201,773,1226,1395,317,136,506,385,130,112,0,0,0,0,0,0,0,0,0,164,212,380,527,673,447,2553,3143,581,3164,2304,3990
"53",0,0,0,0,0,0,0,0,0,0,0,0,7,9511,9301,0,22,105,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",36,67,43,57,54,110,147,135,142,180,45,84,4,10,4,0,0,0,0,6,0,33,9,3,22,14,12,2095,3551,592,2720,2349,3093
"55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910,14910,301,0,0,0,0,0,0,8,4,14,0,2198,0
"56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2550,6072,9824,0,0,0,0,0,0,0,0,0,0,0,0
"57",0,0,0,0,0,0,480,326,1240,460,508,279,2954,17048,3530,40,10,0,38,92,53,0,0,0,0,0,0,12,0,0,6,12,4
"58",0,0,0,0,0,0,0,0,0,0,0,0,94,0,59,1035,1118,358,4274,9327,5479,0,514,0,0,0,0,0,0,0,687,4,5
"59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3944,406,392,0,0,0,5011,2770,3139,2198,4026,2790,0,0,0,0,0,0
"60",2112,1574,1401,1624,1296,1812,739,740,482,797,506,372,0,0,5,10,6,4,0,0,0,3478,4754,4212,3420,3575,4736,1167,1519,364,1390,1402,1225
"61",46,11,21,16,22,15,45,17,13,10,0,13,1915,870,775,2965,2108,986,1370,4057,1704,157,47,91,38,104,55,129,108,40,89,124,75
"62",82,27,57,35,66,71,3,0,0,17,0,0,0,0,0,0,0,0,3,3,6,2057,2416,3816,3675,2246,1363,86,97,24,58,47,72
"64",1251,0,9,0,7,0,4,5814,7007,21,0,0,0,8,159,5,0,21,83,120,17,0,5,3,4,5075,3230,22,3667,1392,32,1335,26
"65",0,0,0,0,0,0,3670,2028,2787,2659,2755,1705,30,18,28,0,0,0,0,0,0,25,20,24,33,23,24,36,45,12,51,24,49
"66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14790,14,384,0,0,0,0,0,0,13,12,0,53,28,9
"67",4628,4037,3132,3772,2976,3679,1571,1754,1319,951,1999,2484,29,6,15,12,0,0,0,0,3,5,0,0,3,0,0,4,18,0,11,19,14
"68",11,7,10,14,11,13,9,12,4,12,5,19,1360,318,240,2473,1092,624,1478,4978,1627,292,133,182,125,199,166,85,116,43,93,118,80
"69",3200,916,2269,1638,2248,3424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",0,0,0,0,0,0,6016,2336,3602,4361,3864,2877,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",822,490,491,466,714,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,258,185,253,264,260,2430,3053,693,3609,2455,3034
"72",626,459,219,308,316,191,378,187,331,133,547,183,1621,6660,1711,155,73,149,49,57,75,103,98,130,58,68,52,40,24,4,25,41,11
"73",5,8,6,5,13127,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,5,0
"74",2121,72,952,44,1026,56,89,9,111,3,193,0,15,10,3,485,119,68,224,653,238,698,132,1108,128,1189,259,838,34,279,48,907,42
"75",369,333,179,342,234,326,2211,2446,1282,2628,1698,1761,4,0,3,0,0,0,0,0,0,230,280,265,225,220,248,282,402,71,325,265,299
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2410,10235,1720,0,0,0,0,0,0,0,4,0,4,0,0
"78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,676,64,0,0,0,386,0,0,6092,4698,24,2769,3434,0
"79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,352,31,2637,7063,2435,0,0,0,0,0,0,0,0,0,0,0,0
"80",68,14,24,0,216,7,135,125,58,0,163,26,3102,3892,2072,0,0,0,112,257,135,0,0,0,0,0,0,0,0,0,3,0,0
"81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,159,78,0,5,0,3970,831,2815,511,2338,684,0,0,0,0,0,0
"82",2867,2449,1681,2359,1710,2632,530,499,325,501,335,363,0,4,0,4,0,6,0,0,0,3037,4274,3777,3126,3168,4177,3722,4776,1125,3925,3474,3896
"83",6,0,0,0,0,0,3610,2678,2781,4121,2586,3072,6,0,0,6,0,0,0,0,0,280,381,276,287,271,290,29,32,6,13,11,18
"84",0,0,0,0,0,0,24,28,51,33,0,0,16396,13887,11150,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2899,3688,9,7015,299,3754
"87",3,0,0,0,0,0,5,0,0,0,0,0,28,16,15,2889,2394,1188,545,1710,540,177,35,81,47,138,73,62,43,16,20,59,16
"88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431,2013,1722,1506,1481,2014,50,31,23,54,38,55
"89",4409,2162,2837,2193,2626,3884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",0,0,0,0,0,0,0,0,0,0,0,0,277,9558,5480,18,60,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",0,0,0,0,0,0,4,4,0,4,20,9,562,930,7354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",1003,372,678,529,573,528,2028,1569,1360,1452,2008,1595,94,119,76,4,0,0,0,8,0,218,211,183,197,228,140,8,4,0,0,0,3
"93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,26,0,0,0,0,0,0,3233,1694,459,2458,3417,2672
"94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1237,0,0,0,0,9568,0,0
