"","L.HH1.L","L.HH1.N","L.HH2.L","L.HH2.N","L.HH3.L","L.HH3.N","L.PQ1.L","L.PQ1.N","L.PQ2.L","L.PQ2.N","L.PQ3.L","L.PQ3.N","L.S.01","L.S.02","L.S.03","L.S.04","L.S.05","L.S.06","L.S.07","L.S.08","L.S.09","L.TB1.L","L.TB1.N","L.TB2.L","L.TB2.N","L.TB3.L","L.TB3.N","L.TQ1.L","L.TQ1.N","L.TQ2.L","L.TQ2.N","L.TQ3.L","L.TQ3.N"
"41",21,29,12,27,28,20,9,15,9,6,0,7,0,0,0,0,0,0,0,0,0,34,46,40,25,43,56,45,41,14,46,41,53
"42",0,0,0,0,0,0,0,0,0,0,0,0,573,423,539,7059,1281,14487,4,24,7,24,0,10,5,37,27,0,0,0,0,0,0
"43",0,6,0,0,0,5,44,58,0,25,0,38,357,57,60,6614,2307,1180,216,474,137,1140,828,631,706,622,493,255,151,61,157,117,148
"45",3,0,5,50,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1863,22204,861,0,0,0,0,0,0,16,6,0,6,12,8
"46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758,643,24514,0,0,0,0,0,0,2555,61,10,2394,3938,28
"47",0,0,0,0,0,0,146,172,207,174,68,45,14444,3875,3343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",5,3,0,35562,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",0,0,0,0,0,0,4830,2079,2544,1508,7651,3232,54,107,161,12,144,8,629,6,3,6,14,23,0,22,26,11,11,8,12,19,13
"51",2671,4232,1120,2423,4725,5664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",0,0,0,0,0,0,3660,2645,2580,2277,4674,5480,17,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",3535,2871,1958,2882,2091,3136,475,390,231,516,254,288,3,0,0,9,3,6,0,0,4,1826,2357,2176,1669,1771,2490,1582,2000,512,1738,1533,1684
"55",202,311,145,239,189,428,154,140,132,363,118,238,0,0,0,0,0,0,0,0,0,786,917,516,614,566,737,1334,2458,403,2150,1446,2459
"57",0,0,0,0,3,0,8,7,12,16,22,5,0,3,3,6,0,0,0,0,0,7,8,10,4,0,0,0,0,0,7,0,3
"58",0,0,0,0,0,4,0,0,8,0,0,0,1494,1563,1223,2916,3021,1150,2424,6686,3376,14,4,5,10,12,24,90,62,0,36,22,18
"59",0,0,0,0,0,0,10857,490,1652,860,4024,508,1518,12426,3496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,5,0,0,0,0,0,0
"61",1905,1517,970,1323,1183,1541,32,30,17,30,35,10,0,0,0,0,0,0,0,5,0,206,333,302,215,228,324,2447,2487,691,2277,1934,1943
"62",1528,669,1146,751,1171,1343,314,134,495,376,130,112,0,0,0,0,0,0,0,0,0,160,204,368,506,656,439,2537,3135,578,3140,2292,3971
"63",22,15,16,15,8,21,3,0,0,5,3,0,0,0,0,0,0,0,0,0,0,37,28,28,29,33,32,19,38,9,30,27,29
"64",0,0,0,0,0,0,0,0,0,0,0,0,7,9393,9182,0,22,105,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",36,67,43,57,54,110,72,37,59,45,20,27,0,0,4,0,0,0,0,6,0,18,4,0,7,4,3,2044,3438,584,2645,2254,3023
"67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910,14910,301,0,0,0,0,0,0,8,4,14,0,2198,0
"68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2359,6057,9611,0,0,0,0,0,0,0,0,0,0,0,0
