"","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"45",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,174,260,142,30,4,8,0,0,0,0,0,0,0,0,0,0,0,0
"46",302,0,0,5,0,0,0,14,27,71,8,0,0,0,0,0,0,0,3813,158,22340,0,0,0,16,0,0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0,0,0,0,0,8,7644,4756,11666,6122,16532,2962,62,113,5,7,11,3,15,4,7,0,3,0,0,0,91
"48",13,0,0,0,5696,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,25,0,14,0,0,0,178,128,78,21,99,0
"49",617,0,0,0,0,3,3,4821,5084,108,0,5,0,3,8,0,3,0,176,95,7,3,0,0,0,4647,3732,8,2174,2190,16,166,41
"50",3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,29,55,34,66,32,21,0,7,4,3,0,4
"51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,0,267,126,0,0,0,0,0,0
"52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,511,0,2623,4821,13728,0,0,0,0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0,0,0,27,23,45,15,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,11,10,0,0,0
"56",0,0,0,0,0,0,0,0,0,0,0,0,15800,1383,1251,201,724,43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",575,112,155,346,402,1151,753,1067,646,1375,764,864,5,0,3,0,0,0,0,0,0,922,1313,525,1733,1096,1341,320,1170,300,568,490,1055
"58",0,0,0,0,0,0,0,0,0,0,0,0,329,216,90,3612,8724,3673,9,53,43,0,0,0,0,0,1516,0,0,0,0,0,0
"59",231,61,37,103,110,252,0,0,31,3,0,0,0,0,6,0,0,0,6,5,11,9,9,5,25,14,13,34,146,40,109,72,99
"60",0,0,0,0,0,0,1803,1715,3311,2142,3075,3871,584,855,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,329,0,0,0,0,0
"62",0,0,0,310,0,180,0,0,0,0,0,0,0,0,0,0,0,0,566,0,15110,8,0,188,1648,0,0,0,0,0,0,0,0
"63",0,0,0,0,0,0,0,0,0,0,0,0,229,236,64,107,44,12,5,11,7,0,0,0,0,0,0,0,0,0,0,0,0
"64",61,330,77,32,166,36,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,34,0,0,0,4,6,9,10,0,0
"65",0,0,0,0,0,0,0,0,0,0,0,0,11450,1203,2918,0,0,0,15,5,9,0,0,0,0,0,0,0,0,0,0,0,0
"67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,94,148,466,0,0,0,0,0,0,0,0,0,0,0,0
"68",3165,903,1186,3396,1920,3910,0,0,0,0,0,0,9,13,6,5,18,0,27,51,52,0,35,54,109,29,19,0,0,13,0,17,0
"69",0,0,0,0,0,0,2728,3022,2762,4654,3470,4516,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,8,3,7
"70",0,0,0,0,0,0,1707,2206,2480,7459,940,1439,55,141,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,7442,96,5911,10507,4734,0,0,0,0,0,0,0,0,0,0,0,0
