"","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"Zotu1052",0,0,0,0,0,0,0,0,0,0,0,0,190,21,17,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1054",8,5,4,7,5,26,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,12,29,16,40
"Zotu1057",0,0,0,0,0,0,0,0,0,0,0,0,65,21,81,29,43,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu106",287,28,37,27,58,183,83,121,100,342,20,49,324,104,194,57,220,46,53,31,54,1931,3044,1947,6576,3415,3306,109,452,120,204,208,361
"Zotu1061",0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0
"Zotu1062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
"Zotu1063",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,16,22,11,36,17,39
"Zotu1067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,47,37,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1068",7,138,0,0,5,0,0,8,0,5,0,11,5,4,0,12,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Zotu1069",0,0,0,0,0,0,3,11,10,4,167,64,0,0,0,0,0,0,0,0,0,3,0,5,0,9,0,0,0,0,0,0,0
"Zotu107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,729,179,357,204,453,0,0,0,1260,3131,0,0,0,0,0,0,3382
"Zotu1070",0,0,0,0,0,0,28,59,26,21,47,54,6,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1071",10,0,7,8,12,26,3,4,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,11,7,20
"Zotu1072",0,0,0,0,0,0,0,0,0,0,5,0,49,29,103,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1074",0,0,0,0,0,0,0,0,0,0,0,0,57,9,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1076",0,0,0,0,0,0,65,0,84,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"Zotu1077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,105,13,0,224,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1078",0,0,0,0,0,0,0,0,0,0,0,0,70,22,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1079",0,0,0,0,0,0,0,0,0,0,0,0,0,50,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1081",0,0,0,0,0,0,0,8,0,9,146,0,0,0,8,0,0,0,0,0,0,14,5,0,3,13,0,0,0,16,7,0,0
"Zotu1083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1084",0,0,0,0,0,0,0,0,0,5,0,0,20,22,119,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
