"","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,616,0,3075,5594,17356,0,0,0,0,0,0,0,0,0,0,0,0
"44",4,0,0,0,0,4,0,0,0,0,0,4,24,0,5,14,116,9,4,0,0,3,13,0,34,17,18,138,46,29,72,8,14
"45",0,0,0,0,0,0,0,0,0,0,0,0,17019,1533,1378,222,790,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",609,122,180,376,449,1238,795,1123,683,1460,813,912,5,0,3,0,0,0,0,0,0,1007,1420,568,1892,1186,1427,336,1264,310,614,516,1133
"47",0,0,0,0,0,0,0,0,0,0,0,0,1579,1023,1937,5068,11373,5256,18,64,97,0,0,0,0,0,1751,0,0,0,0,0,0
"48",23,16,11,53,12,24,1972,1859,3573,2336,3376,4249,646,936,526,12,19,10,9,3,0,22,50,8,44,5,6,12,95,25,22,42,16
"49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,5,236,78,0,428,5,22521,0,0,0,0,0
"50",0,0,0,0,0,0,0,0,0,0,0,0,12970,1369,3328,0,0,0,18,6,10,0,0,0,0,0,0,0,0,0,0,0,3
"51",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",3555,1016,1364,3806,2179,4316,0,0,0,0,0,0,11,14,9,5,24,0,30,56,58,0,37,60,116,31,21,6,0,14,0,17,0
"53",0,0,0,0,0,0,4783,4981,4835,8245,5202,6788,38,4,18,0,0,0,0,0,0,0,4,0,7,5,4,4,28,6,21,15,28
"54",0,0,0,0,0,8,1872,2419,2699,8416,1047,1591,69,163,367,5,0,6,0,0,4,41,58,16,32,11,24,6,19,11,34,83,105
"55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,8851,121,7068,12508,5769,0,0,0,0,0,0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0,0,0,0,0,0,225,202,324,2717,4197,8296,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
"57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,1938,832,0,0,0,4117,12,3928,8,8065,59,0,0,0,0,0,0
"59",4,0,3,3,0,8,1689,2413,1573,3743,1643,3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,125,47,115,70,198
"60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,2108,4102,1208,3891,2088,2305,9,30,3,29,5,57
"61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,1327,9408,2953,0,0,0,0,0,0,0,0,0,0,0,0
"63",54,12,15,35,40,98,0,0,0,144,0,73,30,0,0,4,17,0,52,21,68,5640,5685,4454,10810,2814,2788,80,257,113,207,140,907
"65",0,0,0,0,4,5,0,0,3,12,0,12,0,30,4477,1466,1351,1091,3004,3676,272,27,36,9,15,7,11,62,269,52,105,55,101
"66",0,0,0,0,0,0,0,0,0,0,0,0,11465,196,348,0,0,0,11,3,5,0,0,0,0,0,0,0,0,0,0,0,0
"67",9,4,6,8,17,28,0,0,0,0,0,0,4,0,4,7877,5151,23,8,0,0,5,4,0,6,6,4,4,9,5,7,5,4
"68",90,41,31,34,91,231,0,0,0,0,0,0,0,0,0,7,9,35,0,0,0,1996,3129,988,2098,880,993,186,665,262,413,317,611
"69",16,0,7,15,48,25,1108,1614,1028,2642,1508,3061,317,161,450,402,1690,196,105,44,61,626,1342,197,606,1917,2436,450,1847,387,899,340,678
"70",0,0,0,28,21,70,56,154,203,240,817,174,21,0,11,0,5,0,4,4,15,0,0,0,0,0,0,593,2873,643,1792,762,3169
"71",0,0,0,0,0,0,0,0,0,0,0,0,0,4206,3058,1943,6286,3601,75,151,51,0,0,0,0,0,0,0,0,0,0,0,0
"72",72,5,15,33,30,50,3474,2511,2112,1281,465,1468,8,7,20,20,0,4,15,0,41,57,3,10,28,16,0,35,253,36,3,148,6
"73",11,0,0,4,5,10,126,137,157,206,98,139,0,0,0,0,4,0,0,0,0,1830,2217,981,2569,1235,1524,69,217,52,123,67,156
"74",7,5,15,26,85,164,535,877,1236,2802,822,1802,4,7,116,14,37,0,0,0,0,320,350,269,674,60,169,23,132,41,103,42,78
"75",11,0,0,0,3,12,0,0,0,0,0,0,0,27,12,28,36,5,44,19,17,0,0,0,0,0,0,801,2802,496,1875,1052,3476
