"","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"OTU_1051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,32,0,12,0,7
"OTU_1052",0,0,0,0,0,0,3,4,0,0,0,8,19,23,18,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1053",0,0,0,0,0,0,0,0,0,0,0,0,7,42,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1054",0,0,0,0,0,0,0,0,0,0,0,12,30,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1055",6,0,0,0,3,0,5,0,0,0,0,0,0,12,9,4,0,0,0,0,3,0,0,0,0,0,0,3,5,4,16,0,0
"OTU_1056",0,0,0,0,0,0,4,3,6,13,16,20,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"OTU_106",0,0,0,0,0,0,7,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1061",0,0,0,0,0,0,0,0,0,0,0,0,12,14,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1062",0,0,0,0,0,0,0,0,0,0,0,0,81,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1063",0,0,0,0,0,0,8,8,4,3,15,10,24,0,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1064",0,0,0,0,0,0,0,9,14,0,4,9,20,4,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1066",0,0,0,0,0,0,0,0,0,0,0,0,79,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,23,5,0
"OTU_1068",0,0,0,0,0,0,0,0,0,0,0,0,5,21,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1069",0,0,0,0,0,0,0,0,0,0,0,0,6,16,10,0,0,0,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_107",271,99,80,197,228,350,202,153,199,207,242,274,3576,848,1570,175,283,74,429,225,478,1150,1440,552,1184,774,897,352,560,453,538,530,795
"OTU_1073",0,0,0,0,0,0,0,0,10,10,11,13,11,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"OTU_1074",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1078",0,0,0,0,0,0,0,4,0,0,0,0,8,11,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1079",0,0,0,0,0,0,0,0,28,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,52,16,20,36,66
"OTU_1080",0,0,0,0,0,0,0,0,0,21,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1082",0,0,0,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,6,0,3
"OTU_1084",0,0,0,0,0,0,0,0,0,0,0,0,28,9,30,0,0,0,3,4,5,0,0,0,3,0,0,0,0,0,0,0,0
"OTU_1086",0,0,0,0,0,0,0,0,0,35,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"OTU_1087",0,0,0,0,0,0,0,0,0,0,0,0,43,16,78,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1088",0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
"OTU_109",0,0,0,0,7,0,0,762,0,6,2049,1698,0,0,0,0,0,0,0,0,0,6,323,3,4,38,3,0,0,0,135,0,0
"OTU_1094",0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,139,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1095",0,0,0,0,0,0,3,0,0,0,0,0,62,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1096",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0,6,0,0,0,0,0,0,0,20,0,0,0,0,0,0
"OTU_1097",0,0,0,0,0,0,0,0,0,0,0,0,20,17,27,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1098",0,0,0,0,0,0,0,0,0,0,0,0,8,37,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1099",0,0,0,0,0,0,0,0,0,0,0,0,7,39,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_11",0,0,0,0,0,0,0,0,0,0,0,0,958,52684,42658,0,153,0,3,136,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_110",3,0,0,0,0,0,0,0,0,0,0,0,0,507,1423,125,1145,38,3100,1914,4019,0,0,0,0,0,0,0,4,0,0,0,0
"OTU_1100",0,0,0,0,0,0,0,5,23,28,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1102",0,0,0,0,0,0,0,0,0,0,0,0,28,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1103",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,5,0,3,0,0,0,0,0,0,8,7,13,0,0,9
"OTU_1104",0,0,0,0,0,0,0,0,0,0,4,9,35,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1107",0,0,0,0,0,0,55,0,0,0,0,0,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
"OTU_111",0,0,0,0,0,0,0,0,0,0,0,0,0,1335,3179,99,0,684,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"OTU_1110",0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,48,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"OTU_1112",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,10,8,0,9,12,7,0,0,0,0,0,0
"OTU_1113",0,0,0,0,0,0,0,0,0,0,0,0,38,13,25,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1114",4,0,3,3,6,6,0,3,0,20,11,20,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,6,5,6,0,0,0,3,0,0
"OTU_1116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_112",1223,7,484,641,770,203,0,0,320,0,0,0,963,232,314,17,22,5,61,47,40,175,110,179,234,623,49,733,1000,269,185,602,828
"OTU_1121",0,0,0,0,0,0,0,0,0,0,0,0,38,13,21,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1122",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,8,19,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,11,7,15,11
"OTU_1124",0,0,0,0,0,0,0,0,0,0,0,0,11,6,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,7,25,6,11,4,21
"OTU_1127",0,0,0,0,0,0,0,4,7,4,0,10,27,6,24,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1128",0,0,0,0,0,0,0,0,0,0,0,0,20,9,19,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1129",0,0,0,0,0,0,3,4,11,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1132",0,0,0,0,0,0,0,0,0,0,0,0,73,23,35,0,0,0,20,7,14,0,0,0,0,0,0,0,0,0,0,3,0
"OTU_1134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,46,0,0,0,0,0,0,0,0,0,0
"OTU_1135",2649,467,637,736,1222,2522,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,10,7,13,22,28,9,47,228,59,224,55,124
"OTU_1138",0,0,0,0,0,0,3,3,16,5,9,9,105,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,4,24,0,0,0,0,0,13,0,0
"OTU_114",0,0,0,0,0,0,0,0,0,0,0,0,750,796,1770,366,1190,126,1028,704,1240,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1141",0,0,0,0,0,0,0,0,0,0,0,0,31,5,6,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,60
