"","L.HH1.L","L.HH1.N","L.HH2.L","L.HH2.N","L.HH3.L","L.HH3.N","L.PQ1.L","L.PQ1.N","L.PQ2.L","L.PQ2.N","L.PQ3.L","L.PQ3.N","L.S.01","L.S.02","L.S.03","L.S.04","L.S.05","L.S.06","L.S.07","L.S.08","L.S.09","L.TB1.L","L.TB1.N","L.TB2.L","L.TB2.N","L.TB3.L","L.TB3.N","L.TQ1.L","L.TQ1.N","L.TQ2.L","L.TQ2.N","L.TQ3.L","L.TQ3.N"
"44",3,0,5,46,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1843,21931,852,0,0,0,0,0,0,16,6,0,6,12,8
"45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721,618,23725,0,0,0,0,0,0,2474,57,10,2344,3848,27
"46",0,0,0,0,0,0,146,170,206,173,67,44,14249,3821,3283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",3,0,0,12853,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,4755,2031,2506,1488,7526,3162,51,102,158,7,141,5,618,6,3,5,13,22,0,22,26,11,11,8,12,19,13
"49",2642,4187,1105,2395,4686,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",198,302,144,231,184,421,148,138,129,356,113,224,0,0,0,0,0,0,0,0,0,774,896,507,600,553,729,1288,2386,393,2071,1402,2380
"52",0,0,0,0,3,0,8,7,12,16,21,5,0,3,3,6,0,0,0,0,0,7,8,10,4,0,0,0,0,0,7,0,3
"53",0,0,0,0,0,4,0,0,8,0,0,0,1457,1532,1189,2783,2875,1107,2343,6442,3229,14,4,5,9,11,22,88,58,0,36,22,17
"54",0,0,0,0,0,0,10572,478,1604,843,3945,503,1481,12116,2896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",1867,1488,952,1301,1154,1505,32,30,16,30,35,10,0,0,0,0,0,0,0,3,0,205,330,293,214,224,318,2391,2436,674,2231,1902,1906
"56",1476,647,1103,717,1119,1300,307,131,477,366,123,104,0,0,0,0,0,0,0,0,0,157,200,356,485,634,421,2449,3026,562,3023,2200,3809
"57",0,0,0,0,0,0,0,0,0,0,0,0,7,9229,8940,0,22,102,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",33,66,40,57,53,107,71,37,58,42,19,27,0,0,4,0,0,0,0,6,0,18,4,0,7,4,3,1994,3358,575,2601,2219,2954
"59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,515,11,0,0,0,0,0,0,0,0,0,0,87,0
"60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,120,211,0,0,0,0,0,0,0,0,0,0,0,0
"61",0,0,0,0,0,0,463,322,1214,449,492,274,2901,16695,3457,39,10,0,37,91,52,0,0,0,0,0,0,12,0,0,6,12,4
"62",0,0,0,0,0,0,0,0,0,0,0,0,4761,12771,0,0,0,0,0,156,6,0,0,0,0,0,0,0,0,0,0,0,0
"63",1070,935,565,906,637,1112,334,393,232,400,285,245,0,0,0,0,0,0,0,0,0,1563,2158,1925,1585,1622,2149,2308,2521,574,2236,2161,2129
"64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,82,24,207,573,294,0,14,0,0,0,0,0,0,0,26,0,0
"65",0,6,11,8,6,5,54,89,11,23,74,104,0,0,0,0,0,0,0,0,0,1613,1529,1457,1885,1559,1666,1077,1447,248,851,962,1221
"66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3872,398,383,0,0,0,4906,2718,3067,2161,3946,2739,0,0,0,0,0,0
"67",850,563,571,562,486,655,603,611,394,631,430,300,0,0,4,8,0,4,0,0,0,1766,2470,2188,1704,1915,2419,431,565,103,529,519,515
"68",32,7,14,9,16,8,45,13,12,9,0,12,1818,844,745,2470,1766,814,1146,3517,1452,130,28,68,25,80,37,93,61,24,41,95,29
"69",15,0,10,7,22,19,0,0,0,15,0,0,0,0,0,0,0,0,3,3,0,2009,2350,3713,3566,2173,1323,68,77,12,34,32,34
"71",2454,1778,2269,1851,2164,3158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",71,0,0,0,0,0,0,424,136,0,0,0,0,0,28,0,0,0,6,5,0,0,0,0,0,342,237,4,266,118,3,107,0
"73",0,0,0,0,0,0,3627,2004,2759,2641,2728,1684,29,17,27,0,0,0,0,0,0,25,20,23,33,23,24,33,45,12,51,24,48
"74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14567,14,383,0,0,0,0,0,0,13,12,0,51,27,8
"75",2012,1700,1348,1605,1305,1548,754,880,684,483,971,1205,22,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0
"76",11,7,10,14,11,13,9,12,4,12,5,19,1347,315,239,2461,1079,617,1465,4947,1619,290,133,181,121,199,163,83,116,40,92,118,79
"77",3155,904,2248,1615,2223,3368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",0,0,0,0,0,0,5901,2283,3503,4288,3796,2821,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",777,464,461,443,685,1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,248,175,247,254,251,2326,2925,665,3457,2353,2915
"80",612,448,217,300,309,188,366,183,324,129,538,177,1582,6471,1670,153,72,142,48,56,72,101,96,124,55,67,52,39,24,4,23,41,11
"81",1097,910,624,916,663,968,290,301,189,280,188,204,0,0,0,0,0,4,0,0,0,1359,1876,1730,1455,1458,1839,1173,1604,372,1348,1166,1317
"82",5,4,6,5,12866,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,5,0
"83",2112,72,951,44,1026,56,89,9,111,3,192,0,15,10,3,483,119,68,223,652,238,697,131,1105,128,1183,258,837,34,278,48,903,42
"84",876,607,399,679,527,750,98,101,63,98,79,91,0,0,0,0,0,0,0,0,0,559,820,680,606,638,800,672,758,198,612,737,624
"85",0,0,0,0,0,0,2165,2388,1249,2569,1634,1737,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",55,17,54,20,55,50,3,3,10,8,0,0,0,0,0,0,0,0,0,0,0,4,8,12,21,16,8,14,8,3,25,12,20
"87",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306,9835,1444,0,0,0,0,0,0,0,4,0,4,0,0
"89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,650,61,0,0,0,376,0,0,5626,4608,24,1660,3242,0
"90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,348,31,2593,6956,2397,0,0,0,0,0,0,0,0,0,0,0,0
"91",68,14,24,0,213,7,134,124,57,0,161,26,3070,3860,2054,0,0,0,110,257,134,0,0,0,0,0,0,0,0,0,3,0,0
"92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,101,14,56,9,55,18,0,0,0,0,0,0
"93",1256,1045,751,1000,729,1135,150,111,94,122,94,95,0,0,0,0,0,0,0,0,0,1054,1498,1347,1047,1075,1463,1334,1647,411,1340,1198,1362
"94",6,0,0,0,0,0,3600,2671,2777,4109,2584,3057,6,0,0,6,0,0,0,0,0,279,380,275,284,269,289,29,32,6,13,11,18
"95",0,0,0,0,0,0,23,25,51,33,0,0,15728,13364,10725,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2839,3614,9,6898,295,3690
"98",3,0,0,0,0,0,5,0,0,0,0,0,28,16,15,2784,2297,1150,516,1648,509,171,35,78,46,131,71,59,41,15,20,58,15
"99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1407,1966,1690,1480,1457,1980,50,31,23,52,36,55
"100",4351,2118,2806,2161,2592,3836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",12,23,6,14,8,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,33,39,29,33,31,42,24,23,8,17,23,20
