"","Z.HH1.L","Z.HH1.N","Z.HH2.L","Z.HH2.N","Z.HH3.L","Z.HH3.N","Z.PQ1.L","Z.PQ1.N","Z.PQ2.L","Z.PQ2.N","Z.PQ3.L","Z.PQ3.N","Z.S.01","Z.S.02","Z.S.03","Z.S.04","Z.S.05","Z.S.06","Z.S.07","Z.S.08","Z.S.09","Z.TB1.L","Z.TB1.N","Z.TB2.L","Z.TB2.N","Z.TB3.L","Z.TB3.N","Z.TQ1.L","Z.TQ1.N","Z.TQ2.L","Z.TQ2.N","Z.TQ3.L","Z.TQ3.N"
"43",136,6,34,8,131,5,0,162,0,0,27057,0,3149,11,119,13,1223,0,4,0,0,0,3,6,4,10,4,0,0,3,0,0,0
"44",0,0,0,0,0,0,3681,4990,3508,6853,4755,7781,21,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0,0,0,0,0,0,385,0,12,8240,15273,7036,1912,491,500,0,0,0,0,0,0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,17,0,20,0,4,0,0,0,0,0
"47",362,0,0,8,0,4,0,16,28,84,8,0,0,0,0,0,0,0,4455,183,26493,0,0,4,40,0,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0,0,0,0,0,8,8513,5459,13265,6963,18879,3414,71,125,7,8,13,5,16,9,8,0,4,0,0,0,131
"49",343,0,0,0,6065,0,0,0,0,0,0,0,0,0,0,0,0,0,475,656,318,1854,0,312,13,0,0,17589,10793,6079,1316,9054,0
"50",734,0,0,0,0,4,4,5231,5496,117,0,5,0,3,8,0,4,0,191,105,10,5,0,0,0,5329,4327,10,2553,2442,17,176,47
"51",0,0,0,0,0,0,3,3,5,5,5,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",9,10,0,8,5,37,0,0,0,0,0,0,0,0,0,23,8,104,3,8,8,110,178,116,210,90,76,7,16,13,10,4,14
"53",20,0,15,7,55,0,0,0,0,0,25,0,0,0,0,7,18,26,0,0,0,0,0,5497,0,12358,6992,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,616,0,3075,5594,17343,0,0,0,0,0,0,0,0,0,0,0,0
"55",4,0,0,0,0,4,0,0,0,0,0,4,24,0,5,14,115,9,3,0,0,3,11,0,18,11,9,16,8,0,5,3,6
"56",0,0,0,0,0,0,0,0,0,0,0,0,72,186,191,15,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,15,33,24,0,0,0
"58",0,0,0,0,0,0,0,0,0,0,0,0,17019,1533,1378,222,790,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",608,122,180,375,448,1236,790,1118,682,1455,813,911,5,0,3,0,0,0,0,0,0,1005,1419,567,1885,1184,1424,335,1258,310,612,512,1130
"60",0,0,0,0,0,0,0,0,0,0,0,0,356,252,105,4147,10156,4673,10,57,46,0,0,0,0,0,1750,0,0,0,0,0,0
"61",5776,2316,1422,4203,3573,7848,55,134,94,130,40,146,38,7,19,9,13,0,16,9,23,1428,1570,987,3241,1355,1635,1712,6402,1838,4111,3087,4105
"62",0,4,0,8,0,5,1972,1859,3573,2336,3376,4247,646,936,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,5,236,78,0,428,5,22492,0,0,0,0,0
"64",0,0,0,332,0,195,0,0,0,0,0,0,0,0,0,0,0,0,660,4,16849,23,0,215,1941,0,0,0,0,0,0,0,0
"65",0,0,0,0,0,0,0,0,0,0,0,0,7243,6840,1611,2831,1537,334,113,151,362,0,0,0,0,0,0,0,0,0,0,0,0
"66",347,847,286,74,671,334,0,0,0,0,13,0,0,0,0,0,0,0,31,13,48,0,0,95,0,0,0,7,16,56,122,15,18
"67",0,0,0,0,0,0,0,0,0,0,0,0,12383,1301,3141,0,0,0,18,6,10,0,0,0,0,0,0,0,0,0,0,0,3
"68",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",0,0,0,0,0,0,0,0,0,0,0,0,8,7,4,146,327,172,2830,5527,17696,0,0,0,0,0,0,0,0,0,0,0,0
"70",3526,1016,1362,3793,2175,4295,0,0,0,0,0,0,11,14,9,5,24,0,30,56,58,0,37,60,116,31,21,6,0,14,0,17,0
"71",0,0,0,0,0,0,3164,3464,3098,5366,3969,5208,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,11,3,8
"72",0,0,0,0,0,0,1871,2419,2696,8412,1046,1591,62,162,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,8844,121,7062,12500,5767,0,0,0,0,0,0,0,0,0,0,0,0
"74",0,0,0,0,0,0,0,0,0,0,0,0,225,202,324,2717,4197,8296,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
"75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,1938,832,0,0,0,4117,12,3928,8,8065,59,0,0,0,0,0,0
"77",4,0,3,3,0,8,1689,2413,1573,3743,1643,3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,125,47,115,70,198
"78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,1945,3696,1129,3571,2014,2208,9,30,3,29,5,57
"79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,1327,9408,2953,0,0,0,0,0,0,0,0,0,0,0,0
"80",8,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,7,28,0,8,3,10,0,4,0,7
"82",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,34,24,20,45,17,9,0,0,0,0,0,5
"84",0,0,0,0,3,5,0,0,3,12,0,12,0,30,4466,1463,1349,1090,2137,2759,80,27,36,7,15,7,11,58,232,36,81,43,78
"85",0,0,0,0,0,0,0,0,0,0,0,0,11465,196,348,0,0,0,11,3,5,0,0,0,0,0,0,0,0,0,0,0,0
"86",9,4,6,7,17,28,0,0,0,0,0,0,4,0,4,7877,5151,23,8,0,0,5,4,0,6,6,4,4,9,5,7,5,4
"87",251,23,216,64,446,10,0,0,0,0,0,0,0,0,0,0,0,0,10,5,8,0,0,0,0,0,0,0,0,11,0,0,0
"88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,8,17
"89",0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,167,150,29,9,11,48,0,0,0,0,0,0,0,0,0,0,0,0
"90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,35,0,0,0,1994,3129,988,2094,880,993,176,616,254,396,289,541
"91",0,0,0,0,0,0,226,258,364,834,425,591,146,53,30,374,1130,178,55,10,14,399,929,122,376,1774,2261,110,394,79,153,63,159
"92",0,0,0,28,21,70,56,154,203,240,817,174,21,0,11,0,5,0,4,4,15,0,0,0,0,0,0,593,2873,643,1792,762,3169
"93",0,0,0,0,0,0,0,0,0,0,0,0,0,4203,3034,1568,6274,2114,75,151,51,0,0,0,0,0,0,0,0,0,0,0,0
"94",72,5,15,33,30,50,3423,2472,2077,1209,321,1280,6,3,14,20,0,4,15,0,41,57,3,10,28,16,0,35,253,36,3,148,6
"95",3419,469,853,1096,1125,3058,167,70,246,62,151,28,235,52,122,40,66,11,90,61,106,23,26,11,125,50,40,1568,5322,1794,4673,3208,5331
"96",0,0,0,0,0,0,79,82,113,129,46,78,0,0,0,0,4,0,0,0,0,1815,2195,974,2548,1226,1505,64,211,48,109,66,147
"97",7,5,15,26,85,164,535,877,1236,2802,822,1802,4,7,116,14,37,0,0,0,0,320,350,269,674,60,169,23,132,41,103,42,78
"98",11,0,0,0,3,12,0,0,0,0,0,0,0,27,12,28,36,5,44,19,17,0,0,0,0,0,0,801,2802,496,1875,1052,3476
"99",0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",0,0,0,0,0,0,0,0,0,0,0,0,21,9,20,2613,2797,5393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",6,0,0,17,58,56,0,0,0,0,0,0,0,0,0,17,18,3,0,0,0,143,360,561,1665,1266,734,575,1822,381,1072,396,1180
"104",9,3,4,0,10,19,588,852,1650,4114,384,882,4,9,9,0,0,0,0,4,0,23,33,518,44,17,21,22,68,26,40,27,71
"106",196,15,20,13,28,105,82,84,74,284,18,34,306,97,183,35,124,36,40,20,40,1678,2655,1900,6326,3320,3208,107,440,119,197,203,351
"107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,729,179,357,204,453,0,0,0,1260,3131,0,0,0,0,0,0,3382
"109",4,0,9,7,9,21,5,11,30,12,5,0,0,0,0,7,8,0,0,3,0,1056,1128,574,2255,759,999,129,410,72,258,122,376
